lf_acr;lf_ext;country;source
;Fundação privada;Brazil;WIKI
;Fundação pública;Brazil;WIKI
Sdn. Bhd.;;Brunei;WIKI
Bhd.;;Brunei;WIKI
AD| АД;aktsionerno drujestvo|акционерно дружество;Bulgaria;WIKI
ADSITz| АДСИЦ;aktsionerno druzhestvo sus spetsialna investitsionna tsel|акционерно дружество със специална инвестиционна цел;Bulgaria;WIKI
EAD| ЕАД;ednolichno aktsionerno druzhestvo|еднолично акционерно дружество;Bulgaria;WIKI
EOOD| ЕООД;ednolichno druzhestvo s ogranichena otgovornost|еднолично дружество с ограничена отговорност;Bulgaria;WIKI
ET| ЕТ;ednolichen turgovetz|едноличен търговец;Bulgaria;WIKI
OOD| ООД;drujestvo s ogranichena otgovornost|дружество с ограничена отговорност;Bulgaria;WIKI
KD| КД;komanditno druzhestvo|командитно дружество;Bulgaria;WIKI
KDA| КДА ;komanditno druzhestvo s aktzii|командитно дружество с акции;Bulgaria;WIKI
SD| СД;subiratelno druzhestvo|събирателно дружество;Bulgaria;WIKI
SP;Sole Proprietorship;Cambodia;WIKI
GP;General Partnership;Cambodia;WIKI
LP;Limited Partnership;Cambodia;WIKI
SM Pte Ltd.;Single Member Private Limited Company;Cambodia;WIKI
Pte Ltd.;Private Limited Company;Cambodia;WIKI
Plc Ltd.;Public Limited Company;Cambodia;WIKI
PEEC;Public Establishment with Economic characteristics;Cambodia;WIKI
;State Company;Cambodia;WIKI
;State Joint Venture Company;Cambodia;WIKI
;Import Export Co., Ltd;Cambodia;WIKI
SP;Sole Proprietorship;Canada;WIKI
GP;General Partnership;Canada;WIKI
LP;Limited Partnership;Canada;WIKI
;Corporation;Canada;WIKI
;Joint Venture;Canada;WIKI
SpA;Sociedad por acciones;Chile;WIKI
SRL;Sociedad de Responsabilidad Limitdada;Chile;WIKI
EIRL;Empresa Individual de Responsabilidad Limitada;Chile;WIKI
S.A.;Sociedad Anónima;Chile;WIKI
S.G.R.;Sociedad de Garantia Reciproca;Chile;WIKI
LTDA.;Sociedad de responsabilidad limitada;Chile;WIKI
;有限公司|Yǒuxiàn Gōngsī;China;WIKI
;股份有限公司|Gǔfèn Yǒuxiàn Gōngsī;China;WIKI
;无限责任公司|Wúxiàn Zérèn Gōngsī;China;WIKI
;有限责任股份公司|Yǒuxiàn Zérèn Gǔfèn Gōngsī;China;WIKI
S.A.;Sociedad Anónima;Colombia;WIKI
S.A.S.;Sociedades por Acciones Simplificada;Colombia;WIKI
Ltda.;Sociedad de Responsabilidad Limitada;Colombia;WIKI
S.C.;Sociedad Colectiva;Colombia;WIKI
S. en C.;Comandita Simple;Colombia;WIKI
S.C.A.;Comandita por Acciones;Colombia;WIKI
E.U.;Empresa Unipersonal;Colombia;WIKI
S.A.;Sociedad Anónima;Costa Rica;WIKI
S.R.L.;Sociedad de Responsabilidad Limitada;Costa Rica;WIKI
d.d.;dioničko društvo;Croatia;WIKI
d.o.o.;društvo s ograničenom odgovornošću;Croatia;WIKI
j.d.o.o.;jednostavno društvo s ograničenom odgovornošću;Croatia;WIKI
j.t.d.;javno trgovačko društvo;Croatia;WIKI
k.d.;komanditno društvo;Croatia;WIKI
GIU;gospodarsko interesno udruženje;Croatia;WIKI
;zadruga;Croatia;WIKI
;obrt;Croatia;WIKI
;ortakluk;Croatia;WIKI
;slobodna djelatnost;Croatia;WIKI
;domaća radinost;Croatia;WIKI
;sporedno zanimanje;Croatia;WIKI
OPG;obiteljsko poljoprivredno gospodarstvo;Croatia;WIKI
a.s.|akc. spol.;Akciová společnost;Czech Republic;WIKI
s.r.o.|spol. s r.o.;Společnost s ručením omezeným;Czech Republic;WIKI
v.o.s.;veřejná obchodní společnost;Czech Republic;WIKI
k.s.;komanditní společnost;Czech Republic;WIKI
o.p.s.;obecně prospěšná společnost;Czech Republic;WIKI
;živnost;Czech Republic;WIKI
s.p.;státní podnik;Czech Republic;WIKI
;příspěvková organizace;Czech Republic;WIKI
z.s.;zapsaný spolek;Czech Republic;WIKI
;Enkeltmandsvirksomhed;Denmark;WIKI
;Forening;Denmark;WIKI
I/S;Interessentskab;Denmark;WIKI
IVS;Iværksætterselskab;Denmark;WIKI
ApS;Anpartsselskab;Denmark;WIKI
A/S;Aktieselskab;Denmark;WIKI
K/S;Kommanditselskab;Denmark;WIKI
P/S;Partnerselskab or Kommanditaktieselskab;Denmark;WIKI
A.M.B.A.;Andelsselskab med begrænset ansvar;Denmark;WIKI
F.M.B.A.;Forening med begrænset ansvar;Denmark;WIKI
S.M.B.A.;Selskab med begrænset ansvar;Denmark;WIKI
;Partsrederi;Denmark;WIKI
;Erhvervsdrivende fond;Denmark;WIKI
G/S;Gensidigt selskab;Denmark;WIKI
C. por A.|CXA;Compañía por Acciones;Dominican Republic;WIKI
S.A.;Sociedad Anónima;Dominican Republic;WIKI
S.A.S;Sociedad Anónima Simplificada;Dominican Republic;WIKI
SRL.;Sociedad de Resposabilidad Limitada;Dominican Republic;WIKI
EIRL.;Empresa Individual de Responsabilidad Limitada;Dominican Republic;WIKI
;Sociedad En Comandita Simple;Dominican Republic;WIKI
S.A.;Sociedad Anónima;Ecuador;WIKI
C.A.;Compañía Anónima;Ecuador;WIKI
Cía. Ltda.;Compañía Limitada;Ecuador;WIKI
EP;Empresa Pública;Ecuador;WIKI
SAE ;Sharikat al-Mossahamah;Egypt;WIKI
LLC ;Limited Liability Company;Egypt;WIKI
;Sharikat Tadamun;Egypt;WIKI
;Sharikat Tawssiyah Bassita;Egypt;WIKI
;Sharikat Tawssiyah Belashom;Egypt;WIKI
FIE ;Füüsilisest isikust ettevõtja;Estonia;WIKI
UÜ;Usaldusühing;Estonia;WIKI
TÜ;Täisühing;Estonia;WIKI
OÜ;Osaühing;Estonia;WIKI
AS;Aktsiaselts;Estonia;WIKI
;Tulundusühistu;Estonia;WIKI
MTÜ;Mittetulundusühing;Estonia;WIKI
PLC;Private limited company|ሃላፊነቱ የተወሰነ የግል ማህበር;Ethiopia;WIKI
SC;Share company|አክሲዩን ማህበር;Ethiopia;WIKI
CS;cooperative societies|ህብረት ስራ ማህበራት;Ethiopia;WIKI
PE|PC;public enterprises or public corporations|የመንግስት ልማት ድርጅቶች or ኮርፖሬሽን;Ethiopia;WIKI
EEIG ;European Economic Interest Grouping;EU;WIKI
SCE;Societas Cooperativa Europaea;EU;WIKI
SE;Societas Europaea;EU;WIKI
SPE;Societas Privata Europaea;EU;WIKI
Ay;avoin yhtiö|öppet bolag;Finland;WIKI
Ky|kb;kommandiittiyhtiö|kommanditbolag;Finland;WIKI
Oy|Ab;osakeyhtiö|aktiebolag;Finland;WIKI
Oyj|Abp;julkinen osakeyhtiö|publikt aktiebolag;Finland;WIKI
osk|Anl.;osuuskunta|andelslag;Finland;WIKI
T:mi|toiminimi|firma|F:ma;Yksityinen elinkeinonharjoittaja|enskild näringsidkare;Finland;WIKI
ry|rf;rekisteröity yhdistysförening;Finland;WIKI
rp;rekisteröity puolue|registrerat parti;Finland;WIKI
rs;säätiö|stiftelse;Finland;WIKI
;uskonnollinen yhdyskunta|religionssamfund;Finland;WIKI
;valtion liikelaitos|statens affärsverk;Finland;WIKI
;kunnallinen liikelaitos|kommunal affärsverk;Finland;WIKI
;paliskunta;Finland;WIKI
;asunto-osakeyhtiö|bostadsaktiebolag;Finland;WIKI
jy;julkinen keskinäinen vakuutusyhtiö|publikt ömsesidigt försäkringsbolag;Finland;WIKI
;keskinäinen kiinteistöosakeyhtiö|ömsesidiga fastighetsaktiebolag;Finland;WIKI
;keskinäinen vakuutusyhtiö|ömsesidigt försäkringsbolag;Finland;WIKI
;laivaisännistöyhtiö|partrederi;Finland;WIKI
;säästöpankki|sparbank;Finland;WIKI
;keskivedenkorkeuden muuttamista varten perustettu yhteisö|Sammanslutning som bildas för höjning av medelvattenståndet;Finland;WIKI
;ojitusyhteisö|dikningssammanslutning;Finland;WIKI
;säännöstely-yhteisö|regleringssammanslutning;Finland;WIKI
;tiekunta|väglag;Finland;WIKI
;uittoyhteisö|flottningssammanslutning;Finland;WIKI
;vesioikeudellinen yhteisö|vattenrättslig sammanslutning;Finland;WIKI
;yhteisalue|samfälliga område;Finland;WIKI
;yhteismetsä|samfälld skog;Finland;WIKI
;osakaskunta|jakokunta;Finland;WIKI
SE;Eurooppayhtiö|European Company;Finland;WIKI
SCE;Eurooppaosuuskunta|European Cooperative Society;Finland;WIKI
EEIG;Eurooppalainen taloudellinen etuyhtymä|europeisk ekonomisk intressegruppering;Finland;WIKI
;Auto-entrepreneur;Finland;WIKI
;Profession libérale;France;WIKI
;Sociétés d'exercice libéral;France;WIKI
EI;Entreprise individuelle|entreprise en nom personnel;France;WIKI
FCP;Fond commun de placement;France;WIKI
;Société d'investissement à capital fixe;France;WIKI
SICAV;Société d'investissement à capital variable;France;WIKI
GIE;Groupement d'intérêt économique;France;WIKI
;Association non-déclarée;France;WIKI
;Association déclarée;France;WIKI
SEP;Société en participation;France;WIKI
SNC;Société en nom collectif;France;WIKI
SCS;Société en commandite simple;France;WIKI
SCA;Société en commandite par actions;France;WIKI
SCI;Société Civile Immobilière;France;WIKI
SARL|SàRL;Société à responsabilité limitée;France;WIKI
EURL ;Entreprise unipersonnelle à responsabilité limitée;France;WIKI
SA;Société anonyme;France;WIKI
SCOP;Société coopérative de production;France;WIKI
SEM;Société d'économie mixte;France;WIKI
SAS ;Société par actions simplifiée;France;WIKI
SASU;U- unipersonnelle;France;WIKI
;Einzelunternehmen;France;WIKI
e.K.|e.Kfm.|e.Kfr.;Eingetragener Kaufmann|eingetragene Kauffrau;Germany;WIKI
GbR;Gesellschaft bürgerlichen Rechts|BGB-Gesellschaft;Germany;WIKI
;nicht-eingetragener Verein;Germany;WIKI
OHG;Offene Handelsgesellschaft;Germany;WIKI
KG;Kommanditgesellschaft;Germany;WIKI
GmbH & Co. KG;;Germany;WIKI
AG & Co. KG;;Germany;WIKI
GmbH & Co. OHG;;Germany;WIKI
PartG;Partnerschaftsgesellschaft;Germany;WIKI
PartGmbBH;Partnerschaftsgesellschaft mit beschränkter Berufshaftung;Germany;WIKI
;Partenreederei;Germany;WIKI
e.V.;eingetragener Verein;Germany;WIKI
r.V.;altrechtlicher Verein|rechtsfähiger Verein;Germany;WIKI
;wirtschaftlicher Verein;Germany;WIKI
KGaA;Kommanditgesellschaft auf Aktien;Germany;WIKI
GmbH & Co. KGaA;;Germany;WIKI
AG & Co. KGaA;;Germany;WIKI
GmbH;Gesellschaft mit beschränkter Haftung;Germany;WIKI
UG (haftungsbeschränkt);Unternehmergesellschaft (haftungsbeschränkt);Germany;WIKI
AG;Aktiengesellschaft;Germany;WIKI
e.G.;eingetragene Genossenschaft;Germany;WIKI
;Körperschaft des öffentlichen Rechts;Germany;WIKI
;Stiftung;Germany;WIKI
;Stiftung des öffentlichen Rechts;Germany;WIKI
;Anstalt des öffentlichen Rechts;Germany;WIKI
A.E.|S.A.;Anónimi Etaireía|Ανώνυμη Εταιρεία;Germany;WIKI
A.V.E.E.|Α.Β.Ε.Ε.;Anónimi Viomichanikí Emborikí Etaireía|Ανώνυμη Βιομηχανική Εμπορική Εταιρεία;Greece;WIKI
E.E.;Eterórrithmi Etaireía|Ετερόρρυθμη Εταιρία;Greece;WIKI
E.P.E.|Ε.Π.Ε.;Etaireía Periorisménis Efthínis|Εταιρεία Περιορισμένης Ευθύνης;Greece;WIKI
M.E.P.E.|Μ.Ε.Π.Ε.;Monoprósopi Etaireía Periorisménis Efthínis|Μονοπρόσωπη;Greece;WIKI
O.E.;Omórrithmi Etaireía|Ομόρρυθμη Εταιρεία;Greece;WIKI
O.V.E.E.|Ο.Β.Ε.Ε.;Omórrithmi Viomichanikí Emborikí Etaireía|Ομόρρυθμη Βιομηχανική Εμπορική Εταιρεία;Greece;WIKI
I.K.E.;Idiotiki Kefalaiouchiki Etaireía|Ιδιωτική Κεφαλαιουχική Εταιρεία;Greece;WIKI
y Cía. S. C.;Sociedad Colectiva;Greece;WIKI
y Cía. S. en C.;Sociedad en Comandita Simple;Guatemala;WIKI
Cía. Ltda.;Sociedad de Responsabilidad Limitada;Guatemala;WIKI
S. A.;Sociedad Anónima;Guatemala;WIKI
Cía. S. C. A;Sociedad en Comandita por Acciones;Guatemala;WIKI
SA;Sociedad Anónima;Guatemala;WIKI
Ltd;Limited|有限公司;Haiti;WIKI
Unltd|Ultd ;Unlimited|無限公司;Hong Kong;WIKI
e.v.;egyéni vállalkozó;Hong Kong;WIKI
e.c.;egyéni cég;Hungary;WIKI
bt. ;betéti társaság;Hungary;WIKI
kkt.;közkereseti társaság;Hungary;WIKI
kft.;korlátolt felelősségű társaság;Hungary;WIKI
kht.;közhasznú társaság;Hungary;WIKI
kv.;közös vállalat;Hungary;WIKI
rt.;részvénytársaság;Hungary;WIKI
Nyrt.;nyilvánosan működő részvénytársaság;Hungary;WIKI
Zrt.;zártkörűen működő részvénytársaság;Hungary;WIKI
szöv.;szövetkezet;Hungary;WIKI
;egyesülés;Hungary;WIKI
ehf.;einkahlutafélag;Hungary;WIKI
;einstaklingsfyrirtæki;Iceland;WIKI
hf.;hlutafélag;Iceland;WIKI
ohf.;opinbert hlutafélag;Iceland;WIKI
saf.;samlagsfélag;Iceland;WIKI
sv.;samvinnufélag;Iceland;WIKI
sam.;samsteypa;Iceland;WIKI
sf.;sameignarfélag;Iceland;WIKI
sfs.;sjálfseignarstofnun;Iceland;WIKI
;Sole Proprietorship;Iceland;WIKI
;Limited Liability Partnership;India;WIKI
HUF;Hindu Undivided Family;India;WIKI
;Cooperative;India;WIKI
;Dormant company;India;WIKI
;Family Owned Business;India;WIKI
Pvt Ltd;Private Limited Company;India;WIKI
;Small company;India;WIKI
Ltd;Public Limited Company;India;WIKI
PSU;Public Sector Undertaking;India;WIKI
;One-person company;India;WIKI
;Unlimited Company;India;WIKI
;Incorporation Company;India;WIKI
;Yayasan;India;WIKI
UD;Usaha Dagang;Indonesia;WIKI
Fa;Firma;Indonesia;WIKI
;Koperasi;Indonesia;WIKI
mts;maatschap|Persekutuan Perdata;Indonesia;WIKI
cv;Commanditaire vennootschap|Perusahaan|Persekutuan Komanditer;Indonesia;WIKI
PT;Perseroan Terbatas;Indonesia;WIKI
PT Tbk;Perseroan Terbatas Terbuka or Perseroan Terbuka;Indonesia;WIKI
;Sherkat Sahami Am;Indonesia;WIKI
;Sherkat Sahami Khas;Iran;WIKI
;Sherkat ba Masouliyat Mahdoud;Iran;WIKI
;Sherkat Mokhtalet Gheyr Sahami;Iran;WIKI
;Sherkat Mokhtalet Sahami;Iran;WIKI
;Sherkat Tazamoni;Iran;WIKI
;Sherkat Nesbi;Iran;WIKI
;Sherkat Ta'avoni Tolid va Masraf;Iran;WIKI
;Private company limited by shares;Iran;WIKI
;Company limited by guarantee not having a share capital;Ireland;WIKI
;Company limited by guarantee having a share capital;Ireland;WIKI
;Single Member Company;Ireland;WIKI
;Unlimited Company;Ireland;WIKI
UCITS;Undertakings for Collective Investment in Transferable Securities;Ireland;WIKI
חברה;Company|khevra;Ireland;WIKI
;Private company;Israel;WIKI
;Public company;Israel;WIKI
;Charity company|khevra le'to'ellet ha'tzibur|חברה לתועלת הציבור;Israel;WIKI
;Partnership|shutafut|שותפות;Israel;WIKI
;Cooperative|aguda shitufit|אגודה שיתופית;Israel;WIKI
;Voluntary association|amuta|עמותה;Israel;WIKI
;Artigiano;Israel;WIKI
;Lavoratore autonomo;Italy;WIKI
;Libero professionista;Italy;WIKI
;Imprenditore;Italy;WIKI
S.s.;Società semplice;Italy;WIKI
S.n.c.;Società in nome collettivo;Italy;WIKI
S.a.s.;Società in accomandita semplice;Italy;WIKI
S.p.a.;Società per azioni;Italy;WIKI
S.a.p.a.;Società in accomandita per azioni;Italy;WIKI
S.c.p.a.;Società consortile per azioni;Italy;WIKI
S.c.a.r.l.;Società consortile a responsabilità limitata;Italy;WIKI
S.r.l.;Società a responsabilità limitata;Italy;WIKI
S.c.r.l.;Società cooperativa a responsabilità limitata cooperative limited liability company;Italy;WIKI
K.K.;株式会社|kabushiki-kaisha or kabushiki-gaisha;Italy;WIKI
Y.K.;有限会社|yūgen-kaisha or yūgen-gaisha;Japan;WIKI
G.K.;合同会社|gōdō-kaisha or gōdō-gaisha;Japan;WIKI
GMK;合名会社|gōmei-kaisha or gōmei-gaisha;Japan;WIKI
GSK;合資会社|gōshi-kaisha or gōshi-gaisha;Japan;WIKI
NK;任意組合|nin'i kumiai;Japan;WIKI
TK;匿名組合|tokumei kumiai;Japan;WIKI
;投資事業有限責任組合|tōshi jigyō yūgen sekinin kumiai;Japan;WIKI
;有限責任事業組合|yūgen sekinin jigyō kumiai;Japan;WIKI
;Partnership|General Partnership Company;Japan;WIKI
;Limited Liability|Limited Liability Company;Jordan;WIKI
;Limited Liability in Shares|Limited Liability in Shares;Jordan;WIKI
;Public Shareholding|Public listed stock company;Jordan;WIKI
;Private Shareholding Companies|Private listed stock company;Jordan;WIKI
;Foreign Company|Non-Jordanian company operating in Jordan;Jordan;WIKI
АО;Aktsionernoe obschestvo|Акционерное общество;Jordan;WIKI
ТОО;Tovarishchestvo s ogranichennoy otvetstvennostyu|Товарищество с ограниченной ответственностью;Kazakhstan;WIKI
TDO|ТДО;Tovarishchestvo s dopolnitelnoyu otvetstvennostyu|Товарищество с дополнительной ответственностью|Additional liability partnership;Kazakhstan;WIKI
GP|ГП;Gosudarstvenoe predpriyatie|Государственное предприятие;Kazakhstan;WIKI
КТ;"Komanditnoe Tovarishchestvo; Командитное товарищество";Kazakhstan;WIKI
ОО;Obshestvennoe Obedinenie|Общественное объединение|Social association;Kazakhstan;WIKI
PT|ПТ;Polnoe Tovarishchestvo|Полное товарищество|Full partnership;Kazakhstan;WIKI
PtK|ПтК;Potrebibitelskii Kooperativ|Потребительский кооператив;Kazakhstan;WIKI
PrK|ПрК;Proizvodstvenni Kooperativ|Производственный кооператив;Kazakhstan;WIKI
РО;Relitioznoe Obedinenie|Религиозное объединение;Kazakhstan;WIKI
Uchr|Учр;Uchrezhdenie|Учреждение;Kazakhstan;WIKI
;주식회사|株式會社|jusik hoesa;Kazakhstan;WIKI
;유한회사|有限會社|yuhan hoesa;Korea, South;WIKI
;유한책임회사|有限責任會社|yuhan chaeg-im hoesa;Korea, South;WIKI
;합자회사|合資會社|hapja hoesa;Korea, South;WIKI
;합명회사|合名會社|hapmyeong hoesa;Korea, South;WIKI
SIA;Sabiedrība ar ierobežotu atbildību;Korea, South;WIKI
AS;Akciju sabiedrība;Latvia;WIKI
IK;Individuālais komersants;Latvia;WIKI
PS;Pilnsabiedrība;Latvia;WIKI
KS;Komandītsabiedrība;Latvia;WIKI
ĀKF;Ārzemju komersanta filiāle;Latvia;WIKI
BO;Bezpeļņas organizācija;Latvia;WIKI
VSIA;Valsts sabiedrība ar ierobežotu atbildību;Latvia;WIKI
s.a.l.;Societe Anonyme Libanaise;Latvia;WIKI
S.A.R.L.;Société à responsabilité limitée;Lebanon;WIKI
;Partnership;Lebanon;WIKI
S.N.C.;Société en Nom Collectif;Lebanon;WIKI
S.C.S.;Société en Commandite Simple;Lebanon;WIKI
;Holding Company;Lebanon;WIKI
;Offshore companyRR;Lebanon;WIKI
;Branch of Foreign Company;Lebanon;WIKI
;Representative Office;Lebanon;WIKI
UAB;Uždaroji akcinė bendrovė;Lebanon;WIKI
AB;Akcinė bendrovė;Lithuania;WIKI
VšĮ;Viešoji įstaiga;Lithuania;WIKI
IĮ;Individuali įmonė;Lithuania;WIKI
;Individuali veikla;Lithuania;WIKI
TŪB;Tikroji ūkinė bendrija;Lithuania;WIKI
KŪB;Komanditinė ūkinė bendrija;Lithuania;WIKI
MB;Mažoji bendrija;Lithuania;WIKI
S.A.;Société anonyme;Lithuania;WIKI
S.A.R.L.;Société à responsabilité limitée;Luxembourg;WIKI
SCS;Société en commandite simple;Luxembourg;WIKI
SCSp;Société en Commandite Spéciale;Luxembourg;WIKI
A.D.|А.Д.;Akcionersko Društvo|Акционерско друштво;Luxembourg;WIKI
D.O.O.|Д.О.О.;Društvo so Ograničena Odgovornost|Друштво со ограничена одговорност;Macedonia;WIKI
D.O.O.E.L.|Д.О.О.Е.Л.;Društvo so Ograničena Odgovornost od Edno Lice|Друштво со ограничена одговорност основано од едно лице;Macedonia;WIKI
K.D.|К.Д.;Komanditno Društvo|Командитно друштво;Macedonia;WIKI
K.D.A.|К.Д.А.;Komanditno Društvo so Akcie|Командитно друштво со акции;Macedonia;WIKI
J.T.D.|Ј.Т.Д.;Javno Trgovsko Društvo|Јавно трговско друштво;Macedonia;WIKI
PLT;;Macedonia;WIKI
Bhd.;Berhad;Malaysia;WIKI
Sdn. Bhd.;Sendirian Berhad;Malaysia;WIKI
;Persona Física;Malaysia;WIKI
S.A.;Sociedad Anónima;Mexico;WIKI
S. de R.L.;Sociedad de Responsabilidad Limitada;Mexico;WIKI
;Sociedad en Nombre Colectivo;Mexico;WIKI
S. en C.;Sociedad en Comandita Simple;Mexico;WIKI
S. en C. por A.;Sociedad en Comandita por Acciones;Mexico;WIKI
S.A.B.;Sociedad Anónima Bursátil;Mexico;WIKI
S.A.P.I.;Sociedad Anónima Promotora de Inversión;Mexico;WIKI
SAM;Société Anonyme Monégasque;Mexico;WIKI
SARL;Société à Responsabilité Limitée;Monaco;WIKI
SNC;Societe en Nom Collectif;Monaco;WIKI
SCS;Societe En Commandite Simple;Monaco;WIKI
SCA;Société en Commandite par Actions;Monaco;WIKI
;Sole Trader;Monaco;WIKI
ХК;Khuvitsaat Kompani|Хувьцаат Компани;Monaco;WIKI
ХХК;Khyazgaarlagdmal Khariutslagatai Kompani|Хязгаарлагдмал Хариуцлагатай Компани;Mongolia;WIKI
ТББ;Töriin Bus Baiguullaga|Төрийн Бус Байгууллага;Mongolia;WIKI
ГХО ХХК;Gadaadiin khurungu oruulalttai khyazgaarlagdmal khariutslagatai kompani|Гадаадын хөрөнгө оруулалттай хязгаарлагдмал хариуцлагатай компани;Mongolia;WIKI
;Preduzetnik;Mongolia;WIKI
O.D.;Ortačko Društvo;Montenegro;WIKI
K.D.;Komanditno Društvo;Montenegro;WIKI
A.D.;Akcionarsko Društvo;Montenegro;WIKI
D.O.O.;Društvo sa Ograničenom Odgovornošću;Montenegro;WIKI
;Dio stranog društva|Dio stranog društva;Montenegro;WIKI
S.A;Société Anonyme;Montenegro;WIKI
S.A.S;Société Anonyme Simplifiée;Morocco;WIKI
S.A.R.L;Société à Responsabilité Limitée;Morocco;WIKI
